yyyy mm dd doy hh mm ss     H [nT]     D [nT]     Z [nT]     Proton [nT]
2023 07 10 191 03 32 00   29193.44    1697.56   39934.48   50557.24
2023 07 10 191 03 32 05   29193.41    1697.46   39934.45   50557.23
2023 07 10 191 03 32 10   29193.47    1697.39   39934.43   50557.15
2023 07 10 191 03 32 15   29193.59    1697.36   39934.41   50557.27
2023 07 10 191 03 32 20   29193.68    1697.39   39934.37   50557.35
2023 07 10 191 03 32 25   29193.72    1697.39   39934.37   50557.24
2023 07 10 191 03 32 30   29193.72    1697.35   39934.34   50557.31
2023 07 10 191 03 32 35   29193.70    1697.31   39934.37   50557.23
2023 07 10 191 03 32 40   29193.78    1697.31   39934.34   50557.30
2023 07 10 191 03 32 45   29193.78    1697.28   39934.36   50557.34
2023 07 10 191 03 32 50   29193.82    1697.26   39934.38   50557.32
2023 07 10 191 03 32 55   29193.87    1697.30   39934.26   50557.35
2023 07 10 191 03 33 00   29193.87    1697.30   39934.20   50557.29
2023 07 10 191 03 33 05   29193.96    1697.29   39934.18   50557.30
2023 07 10 191 03 33 10   29194.04    1697.29   39934.10   50557.25
2023 07 10 191 03 33 15   29194.12    1697.25   39934.11   50557.35
2023 07 10 191 03 33 20   29194.17    1697.23   39934.10   50557.37
2023 07 10 191 03 33 25   29194.21    1697.23   39934.07   50557.30
2023 07 10 191 03 33 30   29194.25    1697.24   39934.04   50557.36
2023 07 10 191 03 33 35   29194.25    1697.25   39934.02   50557.37
2023 07 10 191 03 33 40   29194.21    1697.25   39933.98   50557.24
2023 07 10 191 03 33 45   29194.17    1697.23   39933.96   50557.30
2023 07 10 191 03 33 50   29194.16    1697.20   39933.92   50557.15
2023 07 10 191 03 33 55   29194.20    1697.20   39933.88   50557.19
2023 07 10 191 03 34 00   29194.23    1697.25   39933.84   50557.25
2023 07 10 191 03 34 05   29194.28    1697.28   39933.79   50557.18
2023 07 10 191 03 34 10   29194.32    1697.29   39933.77   50557.13
2023 07 10 191 03 34 15   29194.37    1697.27   39933.73   50557.19
2023 07 10 191 03 34 20   29194.43    1697.28   39933.70   50557.15
2023 07 10 191 03 34 25   29194.49    1697.28   39933.67   50557.23
2023 07 10 191 03 34 30   29194.58    1697.25   39933.67   50557.29
2023 07 10 191 03 34 35   29194.67    1697.22   39933.65   50557.23
2023 07 10 191 03 34 40   29194.68    1697.18   39933.63   50557.31
2023 07 10 191 03 34 45   29194.72    1697.14   39933.63   50557.34
2023 07 10 191 03 34 50   29194.84    1697.13   39933.60   50557.30
2023 07 10 191 03 34 55   29194.96    1697.16   39933.59   50557.44
2023 07 10 191 03 35 00   29195.03    1697.18   39933.53   50557.44
2023 07 10 191 03 35 05   29194.99    1697.15   39933.52   50557.44
2023 07 10 191 03 35 10   29194.97    1697.14   39933.48   50557.34
2023 07 10 191 03 35 15   29195.00    1697.13   39933.45   50557.37
2023 07 10 191 03 35 20   29195.03    1697.13   39933.45   50557.36
2023 07 10 191 03 35 25   29195.06    1697.13   39933.41   50557.33
2023 07 10 191 03 35 30   29195.07    1697.11   39933.39   50557.38
2023 07 10 191 03 35 35   29195.09    1697.09   39933.36   50557.30
2023 07 10 191 03 35 40   29195.13    1697.07   39933.34   50557.34
2023 07 10 191 03 35 45   29195.17    1697.02   39933.30   50557.36
2023 07 10 191 03 35 50   29195.21    1696.97   39933.29   50557.32
2023 07 10 191 03 35 55   29195.22    1696.91   39933.30   50557.39
2023 07 10 191 03 36 00   29195.23    1696.86   39933.29   50557.38
2023 07 10 191 03 36 05   29195.22    1696.83   39933.28   50557.39
2023 07 10 191 03 36 10   29195.25    1696.79   39933.27   50557.29
2023 07 10 191 03 36 15   29195.25    1696.77   39933.25   50557.35
2023 07 10 191 03 36 20   29195.24    1696.76   39933.22   50557.31
2023 07 10 191 03 36 25   29195.24    1696.74   39933.19   50557.23
2023 07 10 191 03 36 30   29195.26    1696.74   39933.15   50557.27
2023 07 10 191 03 36 35   29195.28    1696.73   39933.09   50557.19
2023 07 10 191 03 36 40   29195.28    1696.72   39933.06   50557.24
2023 07 10 191 03 36 45   29195.27    1696.68   39933.07   50557.24
2023 07 10 191 03 36 50   29195.34    1696.69   39933.01   50557.13
2023 07 10 191 03 36 55   29195.43    1696.69   39932.97   50557.20
2023 07 10 191 03 37 00   29195.52    1696.70   39932.93   50557.26
2023 07 10 191 03 37 05   29195.57    1696.69   39932.93   50557.28
2023 07 10 191 03 37 10   29195.63    1696.70   39932.90   50557.23
2023 07 10 191 03 37 15   29195.61    1696.64   39932.91   50557.31
2023 07 10 191 03 37 20   29195.57    1696.59   39932.89   50557.26
2023 07 10 191 03 37 25   29195.50    1696.53   39932.90   50557.13
2023 07 10 191 03 37 30   29195.44    1696.47   39932.88   50557.17
2023 07 10 191 03 37 35   29195.43    1696.44   39932.82   50557.15
2023 07 10 191 03 37 40   29195.41    1696.42   39932.79   50557.01
2023 07 10 191 03 37 45   29195.42    1696.41   39932.75   50557.04
2023 07 10 191 03 37 50   29195.47    1696.38   39932.75   50556.98
2023 07 10 191 03 37 55   29195.54    1696.34   39932.75   50557.08
2023 07 10 191 03 38 00   29195.61    1696.31   39932.73   50557.15
2023 07 10 191 03 38 05   29195.66    1696.31   39932.69   50557.10
2023 07 10 191 03 38 10   29195.71    1696.30   39932.66   50557.09
2023 07 10 191 03 38 15   29195.81    1696.26   39932.66   50557.18
2023 07 10 191 03 38 20   29195.88    1696.21   39932.65   50557.16
2023 07 10 191 03 38 25   29195.89    1696.17   39932.63   50557.24
2023 07 10 191 03 38 30   29195.89    1696.13   39932.65   50557.27
2023 07 10 191 03 38 35   29195.88    1696.11   39932.63   50557.15
2023 07 10 191 03 38 40   29195.87    1696.10   39932.59   50557.17
2023 07 10 191 03 38 45   29195.82    1696.07   39932.57   50557.15
2023 07 10 191 03 38 50   29195.84    1696.06   39932.49   50557.01
2023 07 10 191 03 38 55   29195.88    1696.06   39932.44   50557.05
2023 07 10 191 03 39 00   29195.93    1696.03   39932.45   50557.10
2023 07 10 191 03 39 05   29195.97    1696.04   39932.45   50557.12
2023 07 10 191 03 39 10   29196.01    1696.02   39932.46   50557.07
2023 07 10 191 03 39 15   29196.02    1695.99   39932.43   50557.13
2023 07 10 191 03 39 20   29196.03    1695.95   39932.42   50557.13
2023 07 10 191 03 39 25   29196.04    1695.93   39932.38   50557.00
2023 07 10 191 03 39 30   29196.08    1695.88   39932.34   50557.06
2023 07 10 191 03 39 35   29196.18    1695.86   39932.32   50557.03
2023 07 10 191 03 39 40   29196.26    1695.85   39932.30   50557.13
2023 07 10 191 03 39 45   29196.31    1695.84   39932.29   50557.19
2023 07 10 191 03 39 50   29196.33    1695.78   39932.27   50557.11
2023 07 10 191 03 39 55   29196.36    1695.70   39932.27   50557.18
2023 07 10 191 03 40 00   29196.38    1695.64   39932.26   50557.21
2023 07 10 191 03 40 05   29196.44    1695.62   39932.29   50557.27
2023 07 10 191 03 40 10   29196.48    1695.65   39932.24   50557.21
2023 07 10 191 03 40 15   29196.53    1695.65   39932.24   50557.25
2023 07 10 191 03 40 20   29196.56    1695.65   39932.19   50557.28
2023 07 10 191 03 40 25   29196.56    1695.63   39932.10   50557.12
2023 07 10 191 03 40 30   29196.51    1695.58   39932.07   50557.13
2023 07 10 191 03 40 35   29196.40    1695.50   39932.10   50557.04
2023 07 10 191 03 40 40   29196.32    1695.44   39932.09   50557.03
2023 07 10 191 03 40 45   29196.26    1695.35   39932.07   50557.01
2023 07 10 191 03 40 50   29196.20    1695.27   39932.06   50556.88
2023 07 10 191 03 40 55   29196.11    1695.19   39932.07   50556.88
2023 07 10 191 03 41 00   29196.03    1695.12   39932.05   50556.86
2023 07 10 191 03 41 05   29195.96    1695.05   39932.02   50556.76
2023 07 10 191 03 41 10   29195.97    1695.00   39931.98   50556.70
2023 07 10 191 03 41 15   29196.06    1695.01   39931.91   50556.71
2023 07 10 191 03 41 20   29196.09    1695.00   39931.88   50556.66
2023 07 10 191 03 41 25   29196.06    1694.96   39931.87   50556.65
2023 07 10 191 03 41 30   29196.00    1694.88   39931.90   50556.71
2023 07 10 191 03 41 35   29196.03    1694.83   39931.86   50556.58
2023 07 10 191 03 41 40   29196.08    1694.79   39931.86   50556.64
2023 07 10 191 03 41 45   29196.07    1694.78   39931.84   50556.70
2023 07 10 191 03 41 50   29196.07    1694.79   39931.82   50556.60
2023 07 10 191 03 41 55   29196.07    1694.78   39931.77   50556.56
2023 07 10 191 03 42 00   29196.04    1694.77   39931.69   50556.49
2023 07 10 191 03 42 05   29195.99    1694.75   39931.66   50556.43
2023 07 10 191 03 42 10   29195.95    1694.71   39931.63   50556.36
2023 07 10 191 03 42 15   29195.92    1694.66   39931.61   50556.33
2023 07 10 191 03 42 20   29195.94    1694.64   39931.60   50556.29
2023 07 10 191 03 42 25   29195.98    1694.63   39931.58   50556.34
2023 07 10 191 03 42 30   29196.04    1694.59   39931.56   50556.43
2023 07 10 191 03 42 35   29196.07    1694.51   39931.53   50556.35
2023 07 10 191 03 42 40   29196.09    1694.46   39931.54   50556.38
2023 07 10 191 03 42 45   29196.14    1694.42   39931.52   50556.47
2023 07 10 191 03 42 50   29196.18    1694.41   39931.48   50556.37
2023 07 10 191 03 42 55   29196.15    1694.40   39931.45   50556.35
2023 07 10 191 03 43 00   29196.17    1694.38   39931.43   50556.45
2023 07 10 191 03 43 05   29196.23    1694.37   39931.41   50556.40
2023 07 10 191 03 43 10   29196.33    1694.37   39931.40   50556.38
2023 07 10 191 03 43 15   29196.41    1694.36   39931.38   50556.45
2023 07 10 191 03 43 20   29196.46    1694.36   39931.36   50556.55
2023 07 10 191 03 43 25   29196.47    1694.35   39931.34   50556.45
2023 07 10 191 03 43 30   29196.46    1694.30   39931.35   50556.45
2023 07 10 191 03 43 35   29196.50    1694.24   39931.32   50556.42
2023 07 10 191 03 43 40   29196.50    1694.15   39931.33   50556.46
2023 07 10 191 03 43 45   29196.50    1694.10   39931.31   50556.56
2023 07 10 191 03 43 50   29196.51    1694.04   39931.26   50556.40
2023 07 10 191 03 43 55   29196.50    1693.93   39931.25   50556.40
2023 07 10 191 03 44 00   29196.43    1693.82   39931.23   50556.44
2023 07 10 191 03 44 05   29196.41    1693.72   39931.22   50556.34
2023 07 10 191 03 44 10   29196.44    1693.71   39931.23   50556.31
2023 07 10 191 03 44 15   29196.49    1693.74   39931.19   50556.45
2023 07 10 191 03 44 20   29196.56    1693.76   39931.20   50556.36
2023 07 10 191 03 44 25   29196.55    1693.72   39931.16   50556.38
2023 07 10 191 03 44 30   29196.52    1693.63   39931.15   50556.42
2023 07 10 191 03 44 35   29196.50    1693.53   39931.14   50556.28
2023 07 10 191 03 44 40   29196.53    1693.48   39931.14   50556.30
2023 07 10 191 03 44 45   29196.57    1693.49   39931.11   50556.39
2023 07 10 191 03 44 50   29196.61    1693.52   39931.08   50556.30
2023 07 10 191 03 44 55   29196.65    1693.49   39931.06   50556.31
2023 07 10 191 03 45 00   29196.66    1693.38   39931.07   50556.32
2023 07 10 191 03 45 05   29196.63    1693.26   39931.08   50556.30
2023 07 10 191 03 45 10   29196.54    1693.19   39931.07   50556.27
2023 07 10 191 03 45 15   29196.44    1693.13   39931.07   50556.19
2023 07 10 191 03 45 20   29196.34    1693.12   39931.05   50556.13
2023 07 10 191 03 45 25   29196.27    1693.08   39931.04   50556.09
2023 07 10 191 03 45 30   29196.29    1693.06   39931.06   50556.17
2023 07 10 191 03 45 35   29196.38    1693.03   39931.03   50556.08
2023 07 10 191 03 45 40   29196.50    1693.01   39930.98   50556.12
2023 07 10 191 03 45 45   29196.62    1692.97   39930.93   50556.25
2023 07 10 191 03 45 50   29196.68    1692.92   39930.91   50556.19
2023 07 10 191 03 45 55   29196.66    1692.86   39930.87   50556.16
2023 07 10 191 03 46 00   29196.55    1692.80   39930.84   50556.09
2023 07 10 191 03 46 05   29196.47    1692.73   39930.84   50556.03
2023 07 10 191 03 46 10   29196.43    1692.67   39930.82   50555.99
2023 07 10 191 03 46 15   29196.39    1692.65   39930.77   50555.91
2023 07 10 191 03 46 20   29196.38    1692.63   39930.74   50555.90
2023 07 10 191 03 46 25   29196.41    1692.62   39930.73   50555.86
2023 07 10 191 03 46 30   29196.41    1692.63   39930.68   50555.95
2023 07 10 191 03 46 35   29196.43    1692.62   39930.65   50555.84
2023 07 10 191 03 46 40   29196.43    1692.59   39930.63   50555.78
2023 07 10 191 03 46 45   29196.42    1692.58   39930.56   50555.87
2023 07 10 191 03 46 50   29196.44    1692.56   39930.54   50555.75
2023 07 10 191 03 46 55   29196.46    1692.54   39930.55   50555.78
2023 07 10 191 03 47 00   29196.54    1692.53   39930.53   50555.89
2023 07 10 191 03 47 05   29196.62    1692.50   39930.51   50555.83
2023 07 10 191 03 47 10   29196.66    1692.44   39930.53   50555.82
2023 07 10 191 03 47 15   29196.67    1692.33   39930.61   50556.03
2023 07 10 191 03 47 20   29196.71    1692.27   39930.60   50555.95
2023 07 10 191 03 47 25   29196.78    1692.25   39930.57   50555.97
2023 07 10 191 03 47 30   29196.81    1692.21   39930.53   50556.04
2023 07 10 191 03 47 35   29196.85    1692.24   39930.48   50555.96
2023 07 10 191 03 47 40   29196.89    1692.27   39930.46   50555.91
2023 07 10 191 03 47 45   29196.93    1692.27   39930.43   50555.97
2023 07 10 191 03 47 50   29196.97    1692.27   39930.40   50555.94
2023 07 10 191 03 47 55   29197.02    1692.24   39930.41   50556.09
2023 07 10 191 03 48 00   29197.09    1692.20   39930.38   50556.11
2023 07 10 191 03 48 05   29197.14    1692.16   39930.36   50556.08
2023 07 10 191 03 48 10   29197.17    1692.13   39930.38   50556.04
2023 07 10 191 03 48 15   29197.20    1692.10   39930.32   50556.13
2023 07 10 191 03 48 20   29197.19    1692.06   39930.24   50555.95
2023 07 10 191 03 48 25   29197.14    1691.98   39930.22   50555.91
2023 07 10 191 03 48 30   29197.11    1691.94   39930.24   50556.00
2023 07 10 191 03 48 35   29197.14    1691.94   39930.25   50555.93
2023 07 10 191 03 48 40   29197.21    1691.93   39930.22   50555.94
2023 07 10 191 03 48 45   29197.25    1691.85   39930.25   50556.08
2023 07 10 191 03 48 50   29197.22    1691.78   39930.30   50556.06
2023 07 10 191 03 48 55   29197.26    1691.73   39930.27   50556.02
2023 07 10 191 03 49 00   29197.32    1691.68   39930.29   50556.08
2023 07 10 191 03 49 05   29197.41    1691.67   39930.23   50556.10
2023 07 10 191 03 49 10   29197.48    1691.67   39930.23   50556.13
2023 07 10 191 03 49 15   29197.47    1691.66   39930.26   50556.14
2023 07 10 191 03 49 20   29197.46    1691.70   39930.21   50556.10
2023 07 10 191 03 49 25   29197.46    1691.68   39930.20   50556.07
2023 07 10 191 03 49 30   29197.47    1691.65   39930.20   50556.18
2023 07 10 191 03 49 35   29197.56    1691.62   39930.18   50556.13
2023 07 10 191 03 49 40   29197.69    1691.62   39930.10   50556.17
2023 07 10 191 03 49 45   29197.78    1691.64   39930.04   50556.25
2023 07 10 191 03 49 50   29197.87    1691.63   39930.07   50556.23
2023 07 10 191 03 49 55   29197.90    1691.59   39930.05   50556.24
2023 07 10 191 03 50 00   29197.92    1691.54   39930.02   50556.33
2023 07 10 191 03 50 05   29197.89    1691.45   39930.05   50556.28
2023 07 10 191 03 50 10   29197.83    1691.37   39930.05   50556.21
2023 07 10 191 03 50 15   29197.79    1691.26   39930.07   50556.27
2023 07 10 191 03 50 20   29197.80    1691.13   39930.08   50556.18
2023 07 10 191 03 50 25   29197.85    1691.02   39930.10   50556.23
2023 07 10 191 03 50 30   29197.96    1690.98   39930.11   50556.37
2023 07 10 191 03 50 35   29198.05    1691.03   39930.11   50556.35
2023 07 10 191 03 50 40   29198.16    1691.12   39930.10   50556.42
2023 07 10 191 03 50 45   29198.31    1691.21   39930.10   50556.49
2023 07 10 191 03 50 50   29198.46    1691.29   39930.11   50556.60
2023 07 10 191 03 50 55   29198.55    1691.32   39930.10   50556.75
2023 07 10 191 03 51 00   29198.64    1691.30   39930.07   50556.66
2023 07 10 191 03 51 05   29198.63    1691.25   39930.06   50557.08
2023 07 10 191 03 51 10   29198.64    1691.22   39930.07   50556.81
2023 07 10 191 03 51 15   29198.63    1691.21   39930.04   50556.76
2023 07 10 191 03 51 20   29198.66    1691.21   39929.98   50556.62
2023 07 10 191 03 51 25   29198.74    1691.23   39929.94   50556.69
2023 07 10 191 03 51 30   29198.87    1691.27   39929.93   50556.80
2023 07 10 191 03 51 35   29198.99    1691.29   39929.91   50556.75
2023 07 10 191 03 51 40   29199.07    1691.26   39929.93   50556.86
2023 07 10 191 03 51 45   29199.14    1691.20   39929.96   50557.00
2023 07 10 191 03 51 50   29199.20    1691.15   39929.96   50557.03
2023 07 10 191 03 51 55   29199.26    1691.19   39929.95   50557.05
2023 07 10 191 03 52 00   29199.28    1691.22   39929.90   50556.93
2023 07 10 191 03 52 05   29199.24    1691.22   39929.90   50556.99
2023 07 10 191 03 52 10   29199.25    1691.24   39929.89   50556.96
2023 07 10 191 03 52 15   29199.31    1691.25   39929.88   50557.01
2023 07 10 191 03 52 20   29199.40    1691.22   39929.87   50556.96
2023 07 10 191 03 52 25   29199.49    1691.15   39929.88   50557.10
2023 07 10 191 03 52 30   29199.63    1691.11   39929.91   50557.24
2023 07 10 191 03 52 35   29199.69    1691.09   39929.90   50557.20
2023 07 10 191 03 52 40   29199.74    1691.10   39929.91   50557.29
2023 07 10 191 03 52 45   29199.76    1691.03   39929.90   50557.33
2023 07 10 191 03 52 50   29199.76    1690.92   39929.91   50557.26
2023 07 10 191 03 52 55   29199.80    1690.80   39929.97   50557.36
2023 07 10 191 03 53 00   29199.91    1690.81   39930.02   50557.37
2023 07 10 191 03 53 05   29200.02    1690.91   39929.98   50557.46
2023 07 10 191 03 53 10   29200.08    1690.97   39929.96   50557.55
2023 07 10 191 03 53 15   29200.07    1690.95   39929.93   50557.52
2023 07 10 191 03 53 20   29200.01    1690.88   39929.91   50557.39
2023 07 10 191 03 53 25   29199.98    1690.82   39929.91   50557.42
2023 07 10 191 03 53 30   29199.98    1690.81   39929.93   50557.47
2023 07 10 191 03 53 35   29200.02    1690.84   39929.87   50557.47
2023 07 10 191 03 53 40   29200.01    1690.84   39929.84   50557.37
2023 07 10 191 03 53 45   29199.98    1690.76   39929.86   50557.37
2023 07 10 191 03 53 50   29200.05    1690.71   39929.84   50557.40
2023 07 10 191 03 53 55   29200.16    1690.67   39929.84   50557.50
