yyyy mm dd doy hh mm ss     H [nT]     D [nT]     Z [nT]     Proton [nT]
2023 07 10 191 00 27 55   29193.87    1749.62   39955.81   50575.60
2023 07 10 191 00 28 00   29193.88    1749.57   39955.88   50575.61
2023 07 10 191 00 28 05   29193.90    1749.56   39955.89   50575.67
2023 07 10 191 00 28 10   29193.87    1749.56   39955.87   50575.61
2023 07 10 191 00 28 15   29193.78    1749.58   39955.91   50575.68
2023 07 10 191 00 28 20   29193.70    1749.61   39955.88   50575.53
2023 07 10 191 00 28 25   29193.67    1749.64   39955.85   50575.47
2023 07 10 191 00 28 30   29193.72    1749.68   39955.84   50575.51
2023 07 10 191 00 28 35   29193.76    1749.69   39955.82   50575.50
2023 07 10 191 00 28 40   29193.82    1749.67   39955.84   50575.63
2023 07 10 191 00 28 45   29193.85    1749.60   39955.88   50575.60
2023 07 10 191 00 28 50   29193.89    1749.48   39955.90   50575.61
2023 07 10 191 00 28 55   29193.85    1749.37   39955.93   50575.73
2023 07 10 191 00 29 00   29193.83    1749.27   39955.97   50575.67
2023 07 10 191 00 29 05   29193.79    1749.18   39956.01   50575.71
2023 07 10 191 00 29 10   29193.78    1749.13   39956.02   50575.74
2023 07 10 191 00 29 15   29193.78    1749.13   39956.06   50575.69
2023 07 10 191 00 29 20   29193.82    1749.20   39956.04   50575.68
2023 07 10 191 00 29 25   29193.83    1749.28   39955.99   50575.77
2023 07 10 191 00 29 30   29193.82    1749.30   39955.96   50575.67
2023 07 10 191 00 29 35   29193.78    1749.28   39955.95   50575.59
2023 07 10 191 00 29 40   29193.73    1749.24   39955.93   50575.65
2023 07 10 191 00 29 45   29193.65    1749.16   39955.98   50575.60
2023 07 10 191 00 29 50   29193.61    1749.11   39956.02   50575.54
2023 07 10 191 00 29 55   29193.57    1749.08   39956.02   50575.58
2023 07 10 191 00 30 00   29193.48    1749.04   39956.04   50575.52
2023 07 10 191 00 30 05   29193.43    1749.06   39956.05   50575.49
2023 07 10 191 00 30 10   29193.39    1749.11   39956.06   50575.43
2023 07 10 191 00 30 15   29193.38    1749.18   39956.01   50575.44
2023 07 10 191 00 30 20   29193.43    1749.21   39956.01   50575.41
2023 07 10 191 00 30 25   29193.46    1749.20   39955.98   50575.52
2023 07 10 191 00 30 30   29193.44    1749.13   39955.98   50575.46
2023 07 10 191 00 30 35   29193.48    1749.06   39956.00   50575.42
2023 07 10 191 00 30 40   29193.48    1748.96   39956.02   50575.54
2023 07 10 191 00 30 45   29193.47    1748.88   39956.05   50575.51
2023 07 10 191 00 30 50   29193.50    1748.82   39956.07   50575.51
2023 07 10 191 00 30 55   29193.54    1748.76   39956.10   50575.64
2023 07 10 191 00 31 00   29193.61    1748.69   39956.16   50575.70
2023 07 10 191 00 31 05   29193.67    1748.66   39956.18   50575.70
2023 07 10 191 00 31 10   29193.70    1748.66   39956.13   50575.68
2023 07 10 191 00 31 15   29193.64    1748.67   39956.16   50575.71
2023 07 10 191 00 31 20   29193.58    1748.70   39956.18   50575.67
2023 07 10 191 00 31 25   29193.55    1748.75   39956.16   50575.71
2023 07 10 191 00 31 30   29193.49    1748.79   39956.16   50575.61
2023 07 10 191 00 31 35   29193.46    1748.84   39956.14   50575.54
2023 07 10 191 00 31 40   29193.42    1748.86   39956.11   50575.62
2023 07 10 191 00 31 45   29193.35    1748.83   39956.11   50575.50
