iyr mon idm doy ihr min sec power
 10  3 11  70 13 47 40.0   0.266E-04
 10  3 11  70 13 49 10.0   0.225E-04
 10  3 11  70 13 50 40.0   0.395E-04
 10  3 11  70 13 52 10.0   0.311E-04
 10  3 11  70 13 53 40.0   0.215E-03
 10  3 11  70 13 55 10.0   0.295E-04
 10  3 11  70 13 56 40.0   0.514E-04
 10  3 11  70 13 58 10.0   0.509E-04
 10  3 11  70 13 59 40.0   0.735E-04
 10  3 11  70 14  1 10.0   0.334E-04
 10  3 11  70 14  2 40.0   0.202E-04
 10  3 11  70 14  4 10.0   0.655E-04
 10  3 11  70 14  5 40.0   0.786E-05
 10  3 11  70 14  7 10.0   0.203E-04
 10  3 11  70 14  8 40.0   0.420E-04
 10  3 11  70 14 10 10.0   0.194E-04
 10  3 11  70 14 11 40.0   0.654E-04
 10  3 11  70 14 13 10.0   0.424E-04
 10  3 11  70 14 14 40.0   0.205E-04
 10  3 11  70 14 16 10.0   0.376E-04
 10  3 11  70 14 17 40.0   0.351E-04
 10  3 11  70 14 19 10.0   0.547E-04
 10  3 11  70 14 20 40.0   0.328E-04
 10  3 11  70 14 22 10.0   0.847E-04
 10  3 11  70 14 23 40.0   0.506E-04
 10  3 11  70 14 25 10.0   0.822E-04
 10  3 11  70 14 26 40.0   0.943E-05
